%Avodor o3 retrieval, Operator: Luca Egli, PMOD/WRC
%Retrieval Range: 305 - 340 nm
%X-section BassPaur
%Start Temp -45°C
%11 Columns
YEAR,MONTH,DAY,HOUR,MINUTES,SECONDS,MATLABTIME,O3,STDOFO3,SZA,MO3
2016,9,16,9,24,28.8,7.3659e+05,280.68,3.5981,57.563,1.8498
2016,9,16,9,34,33.6,7.3659e+05,282.68,2.7716,55.449,1.7514
2016,9,16,9,44,38.4,7.3659e+05,283.02,2.6519,53.355,1.6658
2016,9,16,9,54,43.2,7.3659e+05,282.85,3.054,51.284,1.5909
2016,9,16,10,4,48,7.3659e+05,283.76,3.0459,49.24,1.5251
2016,9,16,10,14,52.8,7.3659e+05,283.34,3.1164,47.227,1.467
2016,9,16,10,24,57.6,7.3659e+05,282.92,2.9014,45.248,1.4157
2016,9,16,10,35,2.4,7.3659e+05,282.32,3.2801,43.31,1.3704
2016,9,16,10,45,7.2,7.3659e+05,282.69,2.5314,41.418,1.3302
2016,9,16,10,55,12,7.3659e+05,283.38,2.5746,39.579,1.2946
2016,9,16,11,5,16.8,7.3659e+05,282.41,2.5488,37.803,1.2632
2016,9,16,11,15,21.6,7.3659e+05,282.23,2.1505,36.097,1.2355
2016,9,16,11,25,26.4,7.3659e+05,284.17,2.0814,34.473,1.2112
2016,9,16,11,35,31.2,7.3659e+05,282.84,2.8464,32.943,1.19
2016,9,16,11,45,36,7.3659e+05,281.87,2.0821,31.521,1.1717
2016,9,16,11,55,40.8,7.3659e+05,281.33,2.2567,30.224,1.156
2016,9,16,12,5,45.6,7.3659e+05,281.93,2.3476,29.067,1.1429
2016,9,16,12,15,50.4,7.3659e+05,281.65,2.5287,28.068,1.1322
2016,9,16,12,25,55.2,7.3659e+05,281.62,1.9002,27.245,1.1238
2016,9,16,12,36,0,7.3659e+05,281.7,2.3099,26.614,1.1176
2016,9,16,12,46,4.8,7.3659e+05,280.91,2.9999,26.19,1.1135
2016,9,16,12,56,9.6,7.3659e+05,281.57,2.3213,25.982,1.1116
2016,9,16,13,6,14.4,7.3659e+05,280.68,2.0071,25.996,1.1117
2016,9,16,13,16,19.2,7.3659e+05,280.33,2.69,26.231,1.1139
2016,9,16,13,26,24,7.3659e+05,281.47,2.5805,26.682,1.1183
2016,9,16,13,36,28.8,7.3659e+05,280.57,2.2815,27.337,1.1247
2016,9,16,13,46,33.6,7.3659e+05,280.68,2.3545,28.183,1.1334
2016,9,16,13,56,38.4,7.3659e+05,280.56,2.2051,29.202,1.1444
2016,9,16,14,6,43.2,7.3659e+05,280.58,2.3107,30.378,1.1579
2016,9,16,14,16,48,7.3659e+05,280.1,2.7918,31.692,1.1738
2016,9,16,14,26,52.8,7.3659e+05,280.36,2.4522,33.128,1.1925
2016,9,16,14,36,57.6,7.3659e+05,281.57,2.7497,34.671,1.214
2016,9,16,14,47,2.4,7.3659e+05,282.46,1.7401,36.306,1.2387
2016,9,16,14,57,7.2,7.3659e+05,280.65,2.5922,38.022,1.2669
2016,9,16,15,7,12,7.3659e+05,281.96,2.617,39.808,1.2988
2016,9,16,15,17,16.8,7.3659e+05,280.73,2.7035,41.654,1.335
2016,9,16,15,27,21.6,7.3659e+05,280.64,2.383,43.553,1.3758
2016,9,16,15,37,26.4,7.3659e+05,282.16,2.9587,45.497,1.4219
2016,9,16,15,47,31.2,7.3659e+05,281.03,3.4253,47.481,1.474
2016,9,16,16,7,40.8,7.3659e+05,281.07,3.5234,51.548,1.6
2016,9,16,16,17,45.6,7.3659e+05,282.15,3.2411,53.623,1.6762
2016,9,16,16,27,50.4,7.3659e+05,283.35,3.6974,55.72,1.7633
2016,9,16,16,37,55.2,7.3659e+05,281.16,2.9961,57.838,1.8635
2016,9,16,16,48,0,7.3659e+05,284.93,2.6208,59.973,1.9795
2016,9,16,16,58,4.8,7.3659e+05,287.29,0,62.122,2.1146
2016,9,17,9,15,50.4,7.3659e+05,279.92,2.567,59.517,1.9533
2016,9,17,9,36,0,7.3659e+05,280.04,3.1623,55.287,1.7444
2016,9,17,9,46,4.8,7.3659e+05,279.77,3.2208,53.202,1.66
2016,9,17,9,56,9.6,7.3659e+05,280.98,3.8154,51.142,1.5861
2016,9,17,10,6,14.4,7.3659e+05,278.6,2.4955,49.109,1.5211
2016,9,17,10,16,19.2,7.3659e+05,280.27,2.5748,47.108,1.4638
2016,9,17,10,26,24,7.3659e+05,280.1,2.5619,45.144,1.4132
2016,9,17,10,36,28.8,7.3659e+05,279.05,2.7305,43.221,1.3684
2016,9,17,10,46,33.6,7.3659e+05,280.25,2.7054,41.347,1.3287
2016,9,17,10,56,38.4,7.3659e+05,279.04,2.2067,39.529,1.2937
2016,9,17,11,6,43.2,7.3659e+05,279.65,2.8211,37.774,1.2627
2016,9,17,11,16,48,7.3659e+05,278.44,2.3864,36.093,1.2354
2016,9,17,11,26,52.8,7.3659e+05,279.62,2.3088,34.496,1.2115
2016,9,17,11,36,57.6,7.3659e+05,279.28,2.6401,32.996,1.1907
2016,9,17,11,47,2.4,7.3659e+05,279.19,2.7789,31.608,1.1727
2016,9,17,11,57,7.2,7.3659e+05,277.79,2.3795,30.346,1.1575
2016,9,17,12,7,12,7.3659e+05,278.14,3.1965,29.228,1.1447
2016,9,17,12,17,16.8,7.3659e+05,278.06,2.3737,28.27,1.1344
2016,9,17,12,27,21.6,7.3659e+05,277.72,2.7482,27.489,1.1263
2016,9,17,12,37,26.4,7.3659e+05,277.62,1.7831,26.902,1.1204
2016,9,17,12,47,31.2,7.3659e+05,277.46,2.0783,26.521,1.1167
2016,9,17,12,57,36,7.3659e+05,278.31,2.1606,26.354,1.1151
2016,9,17,13,7,40.8,7.3659e+05,277.61,2.2816,26.407,1.1156
2016,9,17,13,17,45.6,7.3659e+05,277.9,2.3342,26.678,1.1182
2016,9,17,13,27,50.4,7.3659e+05,278.88,2.8839,27.16,1.123
2016,9,17,13,37,55.2,7.3659e+05,276.84,2.4864,27.842,1.1299
2016,9,17,13,48,0,7.3659e+05,277.23,2.6681,28.71,1.1391
2016,9,17,13,58,4.8,7.3659e+05,276.69,2.6107,29.747,1.1506
2016,9,17,14,8,9.6,7.3659e+05,278.49,3.3094,30.937,1.1645
2016,9,17,14,18,14.4,7.3659e+05,276.89,2.8631,32.262,1.181
2016,9,17,14,28,19.2,7.3659e+05,276.72,2.0523,33.706,1.2003
2016,9,17,14,38,24,7.3659e+05,277.5,2.6485,35.255,1.2226
2016,9,17,14,48,28.8,7.3659e+05,276.72,2.3939,36.894,1.2481
2016,9,17,14,58,33.6,7.3659e+05,276.09,2.2415,38.612,1.2772
2016,9,17,15,8,38.4,7.3659e+05,277.44,3.6925,40.4,1.3101
2016,9,17,15,18,43.2,7.3659e+05,278.05,2.5375,42.246,1.3473
2016,9,17,15,28,48,7.3659e+05,277.89,3.3129,44.145,1.3894
2016,9,17,15,38,52.8,7.3659e+05,278.15,2.41,46.089,1.4369
2016,9,17,15,48,57.6,7.3659e+05,279.2,2.9705,48.073,1.4906
2016,9,17,15,59,2.4,7.3659e+05,277.89,3.3198,50.09,1.5515
2016,9,17,16,9,7.2,7.3659e+05,278.2,3.4042,52.138,1.6207
2016,9,17,16,19,12,7.3659e+05,277.55,3.8737,54.211,1.6995
2016,9,17,16,39,21.6,7.3659e+05,279.27,2.9743,58.424,1.8938
2016,9,17,16,49,26.4,7.3659e+05,278.76,1.9604,60.558,2.0143
2016,9,17,14,48,28.8,7.3659e+05,276.96,1.917,36.894,1.2481
2016,9,17,14,58,33.6,7.3659e+05,276.09,2.2415,38.612,1.2772
2016,9,17,15,8,38.4,7.3659e+05,277.44,3.6925,40.4,1.3101
2016,9,17,15,18,43.2,7.3659e+05,278.05,2.5375,42.246,1.3473
2016,9,17,15,28,48,7.3659e+05,277.89,3.3129,44.145,1.3894
2016,9,17,15,38,52.8,7.3659e+05,278.15,2.41,46.089,1.4369
2016,9,17,15,48,57.6,7.3659e+05,279.2,2.9705,48.073,1.4906
2016,9,17,15,59,2.4,7.3659e+05,277.89,3.3198,50.09,1.5515
2016,9,17,16,9,7.2,7.3659e+05,278.2,3.4042,52.138,1.6207
2016,9,17,16,19,12,7.3659e+05,277.55,3.8737,54.211,1.6995
2016,9,17,16,39,21.6,7.3659e+05,279.27,2.9743,58.424,1.8938
2016,9,17,16,49,26.4,7.3659e+05,278.76,1.9604,60.558,2.0143
2016,9,18,9,17,16.8,7.3659e+05,278.01,3.6684,59.343,1.9436
2016,9,18,9,37,26.4,7.3659e+05,277.73,2.1526,55.129,1.7376
2016,9,18,9,47,31.2,7.3659e+05,277,3.8657,53.054,1.6543
2016,9,18,9,57,36,7.3659e+05,277.34,2.6027,51.004,1.5814
2016,9,18,10,7,40.8,7.3659e+05,279.2,3.5324,48.983,1.5173
2016,9,18,10,17,45.6,7.3659e+05,276.96,2.4297,46.995,1.4607
2016,9,18,10,27,50.4,7.3659e+05,278.5,2.4438,45.045,1.4108
2016,9,18,10,37,55.2,7.3659e+05,277.57,3.6113,43.14,1.3666
2016,9,18,10,48,0,7.3659e+05,277.26,3.9325,41.284,1.3275
2016,9,18,10,58,4.8,7.3659e+05,276.81,3.2668,39.486,1.2929
2016,9,18,11,8,9.6,7.3659e+05,277.6,3.146,37.754,1.2623
2016,9,18,11,18,14.4,7.3659e+05,277.89,3.5254,36.097,1.2355
2016,9,18,11,28,19.2,7.3659e+05,276.73,2.6447,34.529,1.212
2016,9,18,11,38,24,7.3659e+05,277.89,3.1271,33.059,1.1915
2016,9,18,11,48,28.8,7.3659e+05,276.98,3.6182,31.704,1.174
2016,9,18,12,8,38.4,7.3659e+05,277.47,3.6385,29.399,1.1466
2016,9,18,12,18,43.2,7.3659e+05,276.72,2.6995,28.482,1.1366
2016,9,18,12,28,48,7.3659e+05,277.06,2.2616,27.744,1.1289
2016,9,18,12,38,52.8,7.3659e+05,276.92,3.4786,27.2,1.1234
2016,9,18,12,59,2.4,7.3659e+05,275.15,2.9105,26.735,1.1188
2016,9,18,13,9,7.2,7.3659e+05,274.78,2.4168,26.826,1.1197
2016,9,18,13,19,12,7.3659e+05,275.1,2.409,27.131,1.1227
2016,9,18,13,29,16.8,7.3659e+05,274.91,2.2829,27.643,1.1278
2016,9,18,13,39,21.6,7.3659e+05,274.02,3.2257,28.35,1.1352
2016,9,18,13,49,26.4,7.3659e+05,274.1,2.5454,29.24,1.1449
2016,9,18,13,59,31.2,7.3659e+05,274.94,2.7855,30.294,1.1569
2016,9,18,14,9,36,7.3659e+05,273.86,2.5442,31.498,1.1714
2016,9,18,14,19,40.8,7.3659e+05,273.87,2.9006,32.833,1.1885
2016,9,18,14,29,45.6,7.3659e+05,274.63,2.5539,34.285,1.2085
2016,9,18,14,39,50.4,7.3659e+05,274.92,3.4593,35.839,1.2315
2016,9,18,14,49,55.2,7.3659e+05,276.94,3.4333,37.482,1.2578
2016,9,18,15,0,0,7.3659e+05,275.72,2.9287,39.203,1.2877
2016,9,18,15,10,4.8,7.3659e+05,275.83,3.1185,40.992,1.3216
2016,9,18,15,20,9.6,7.3659e+05,275.34,3.1259,42.839,1.36
2016,9,19,9,18,43.2,7.3659e+05,268.82,1.683,59.173,1.9341
2016,9,19,9,28,48,7.3659e+05,269.94,3.7432,57.064,1.8254
2016,9,19,9,48,57.6,7.3659e+05,269.88,3.466,52.91,1.6489
2016,9,19,9,59,2.4,7.3659e+05,268.65,3.1088,50.87,1.577
2016,9,19,10,9,7.2,7.3659e+05,269.78,3.515,48.862,1.5137
2016,9,19,10,19,12,7.3659e+05,268.2,2.1632,46.888,1.4579
2016,9,19,10,29,16.8,7.3659e+05,270.03,3.0258,44.953,1.4085
2016,9,19,10,39,21.6,7.3659e+05,269.99,3.2323,43.065,1.3649
2016,9,19,10,49,26.4,7.3659e+05,269.8,2.724,41.228,1.3263
2016,9,19,10,59,31.2,7.3659e+05,269.3,2.6858,39.45,1.2922
2016,9,19,11,9,36,7.3659e+05,270.5,2.8517,37.741,1.2621
2016,9,19,11,19,40.8,7.3659e+05,270.62,3.3787,36.111,1.2357
2016,9,19,11,29,45.6,7.3659e+05,269.41,2.209,34.57,1.2126
2016,9,19,11,39,50.4,7.3659e+05,270.41,3.0102,33.132,1.1925
2016,9,19,11,49,55.2,7.3659e+05,271.08,2.0571,31.811,1.1753
2016,9,19,12,0,0,7.3659e+05,270.55,1.8904,30.622,1.1607
2016,9,19,12,10,4.8,7.3659e+05,270.7,2.2103,29.581,1.1487
2016,9,19,12,20,9.6,7.3659e+05,271.11,2.4778,28.705,1.139
2016,9,19,12,30,14.4,7.3659e+05,270.42,2.3781,28.009,1.1316
2016,9,19,12,40,19.2,7.3659e+05,270.42,1.637,27.506,1.1265
2016,9,19,12,50,24,7.3659e+05,269.71,2.5333,27.209,1.1235
2016,9,19,13,0,28.8,7.3659e+05,270.5,1.8347,27.123,1.1226
2016,9,19,13,10,33.6,7.3659e+05,269.62,2.4132,27.25,1.1239
2016,9,19,13,20,38.4,7.3659e+05,270.27,1.6883,27.589,1.1273
2016,9,19,13,30,43.2,7.3659e+05,270.81,1.9377,28.13,1.1329
2016,9,19,13,40,48,7.3659e+05,271.16,2.3418,28.862,1.1407
2016,9,19,13,50,52.8,7.3659e+05,271.18,2.3109,29.772,1.1508
