FTIR_setup date(yymmdd) time(hhmmss) juldayhm(ftir) date_matlab RMS/maximum_intensity White_signal-to-noise RMS_residues_fit iterations_convergence Solar_elevation_angle(º) DOFH2O DOFO348 DOFO350a DOFO350s DOFO349a DOFO349s Total_Column_H2O(molec/m2) Total_Column_O3total(molec/m2) Total_Column_O348(molec/m2) Total_Column_O350a(molec/m2) Total_Column_O350s(molec/m2) TC_O349a(molec/m2) Total_Column_O349s(molec/m2) 
O3_iTY_1 160901 092643 6453.393 736574.393553 0.002588 724.361705 6021.687000 6.000000 34.711292 1.000000 4.168000 1.148000 1.213000 0.124500 0.180000 1.08920e+026 8.07117e+022 8.06350e+022 9.32700e+022 8.96220e+022 8.99960e+022 8.85020e+022 
O3_iTY_1 160901 095236 6453.411 736574.411528 0.002423 865.120132 5630.024000 6.000000 40.271847 1.000000 4.213000 1.125000 1.189000 0.116000 0.168000 1.05800e+026 8.07817e+022 8.07060e+022 9.29380e+022 9.00380e+022 8.99820e+022 8.83810e+022 
O3_iTY_1 160901 101826 6453.429 736574.429468 0.002370 673.348793 5509.669000 6.000000 45.715519 1.000000 4.212000 1.094000 1.156000 0.102800 0.150300 7.83330e+025 8.09306e+022 8.08540e+022 9.30600e+022 9.07230e+022 8.99930e+022 8.85250e+022 
O3_iTY_1 160901 104421 6453.447 736574.447465 0.002277 705.029964 5283.098000 6.000000 51.014233 1.000000 4.232000 1.080000 1.137000 0.097500 0.143100 1.08300e+026 8.10708e+022 8.09940e+022 9.33180e+022 9.07660e+022 9.00990e+022 8.87050e+022 
O3_iTY_1 160901 145003 6453.618 736574.618090 0.002213 739.853216 5126.263000 6.000000 58.108023 1.000000 4.246000 1.059000 1.110000 0.090700 0.132100 9.76360e+025 8.15514e+022 8.14740e+022 9.39340e+022 9.11440e+022 9.09440e+022 8.91130e+022 
O3_iTY_1 160906 091754 6458.387 736579.387431 0.002619 696.902701 6038.788000 7.000000 32.260178 1.000000 4.160000 1.157000 1.228000 0.126500 0.182800 1.21460e+026 7.74378e+022 7.73640e+022 8.93200e+022 8.63390e+022 8.64490e+022 8.49550e+022 
O3_iTY_1 160906 100751 6458.422 736579.422118 0.002408 712.309370 5509.126000 6.000000 42.854741 1.000000 4.186000 1.100000 1.157000 0.102800 0.150500 1.87480e+026 7.72974e+022 7.72210e+022 8.97260e+022 8.65500e+022 8.60130e+022 8.46300e+022 
O3_iTY_1 160906 103338 6458.440 736579.440023 0.002272 703.898027 5201.711000 6.000000 48.112774 1.000000 4.217000 1.089000 1.141000 0.100300 0.145500 1.75750e+026 7.73155e+022 7.72410e+022 8.94290e+022 8.61650e+022 8.63700e+022 8.45410e+022 
O3_iTY_1 160906 105931 6458.458 736579.457998 0.002264 653.839078 5178.254000 6.000000 53.150219 1.000000 4.194000 1.058000 1.112000 0.089290 0.131700 1.79500e+026 7.72153e+022 7.71400e+022 8.91870e+022 8.67750e+022 8.60250e+022 8.47090e+022 
O3_iTY_1 160906 112519 6458.476 736579.475914 0.002240 633.215315 5115.679000 6.000000 57.810658 1.000000 4.191000 1.042000 1.091000 0.083600 0.125100 1.73500e+026 7.75086e+022 7.74330e+022 8.95970e+022 8.69750e+022 8.62320e+022 8.53360e+022 
O3_iTY_1 160906 121011 6458.507 736579.507072 0.002224 648.012017 5071.785000 6.000000 64.446655 1.000000 4.183000 1.020000 1.068000 0.076530 0.113700 1.62480e+026 7.79949e+022 7.79190e+022 9.01470e+022 8.75070e+022 8.68110e+022 8.55240e+022 
O3_iTY_1 160906 130510 6458.545 736579.545255 0.002184 674.623948 4951.682000 6.000000 67.853462 1.000000 4.181000 1.014000 1.063000 0.076280 0.114200 1.79070e+026 7.80313e+022 7.79580e+022 8.96200e+022 8.74140e+022 8.66880e+022 8.56540e+022 
O3_iTY_1 160909 111213 6461.467 736582.466817 0.002302 712.041343 5185.604000 6.000000 54.902897 1.000000 4.102000 1.039000 1.093000 0.083670 0.125400 3.04380e+026 7.53066e+022 7.52320e+022 8.71170e+022 8.51110e+022 8.34490e+022 8.26400e+022 
O3_iTY_1 160909 113806 6461.485 736582.484792 0.002256 663.160901 5037.634000 6.000000 59.222426 1.000000 4.102000 1.029000 1.077000 0.081020 0.121300 3.23640e+026 7.53769e+022 7.53030e+022 8.71890e+022 8.47120e+022 8.37750e+022 8.28030e+022 
O3_iTY_1 160909 120347 6461.502 736582.502627 0.002217 694.315905 4928.817000 6.000000 62.814299 1.000000 4.106000 1.022000 1.071000 0.079560 0.117600 3.03670e+026 7.52644e+022 7.51910e+022 8.69280e+022 8.46990e+022 8.37440e+022 8.23220e+022 
O3_iTY_1 160909 122940 6461.520 736582.520602 0.002223 661.896566 4962.700000 6.000000 65.420111 1.000000 4.095000 1.014000 1.059000 0.076050 0.112900 3.02180e+026 7.52958e+022 7.52220e+022 8.71470e+022 8.45120e+022 8.38040e+022 8.24120e+022 
O3_iTY_1 160913 094521 6465.406 736586.406493 0.002633 719.723139 5579.252000 6.000000 37.229441 1.000000 4.081000 1.113000 1.177000 0.109400 0.158200 2.98830e+026 7.84945e+022 7.84190e+022 9.06820e+022 8.76690e+022 8.75800e+022 8.58690e+022 
O3_iTY_1 160913 101113 6465.424 736586.424456 0.002500 661.445250 5312.479000 6.000000 42.536749 1.000000 4.098000 1.093000 1.154000 0.100300 0.147500 3.35260e+026 7.83165e+022 7.82390e+022 9.07640e+022 8.80390e+022 8.70850e+022 8.58040e+022 
O3_iTY_1 160913 110245 6465.460 736586.460243 0.002376 711.830047 5132.191000 6.000000 52.404228 1.000000 4.102000 1.052000 1.105000 0.086130 0.127300 3.59050e+026 7.81932e+022 7.81160e+022 9.05310e+022 8.79920e+022 8.69520e+022 8.56370e+022 
O3_iTY_1 160913 112832 6465.478 736586.478148 0.002273 622.671830 4943.964000 6.000000 56.760426 1.000000 4.130000 1.048000 1.099000 0.085600 0.127000 3.34620e+026 7.83687e+022 7.82940e+022 9.04560e+022 8.75330e+022 8.69680e+022 8.57000e+022 
O3_iTY_1 160913 115424 6465.496 736586.496111 0.002237 689.477857 4886.312000 6.000000 60.497257 1.000000 4.134000 1.039000 1.092000 0.083320 0.124300 3.36720e+026 7.85188e+022 7.84420e+022 9.07280e+022 8.83380e+022 8.73220e+022 8.62300e+022 
O3_iTY_1 160913 122027 6465.514 736586.514201 0.002232 661.779779 4899.378000 6.000000 63.341420 1.000000 4.133000 1.027000 1.077000 0.079850 0.118500 3.09720e+026 7.83631e+022 7.82880e+022 9.02820e+022 8.78970e+022 8.72470e+022 8.58960e+022 
O3_iTY_1 160913 124625 6465.532 736586.532234 0.002230 707.130114 4867.475000 6.000000 64.942837 1.000000 4.133000 1.025000 1.073000 0.078570 0.116300 3.17970e+026 7.85560e+022 7.84790e+022 9.09420e+022 8.81610e+022 8.73760e+022 8.59440e+022 
O3_iTY_1 160914 094552 6466.406 736587.406852 0.002602 647.493742 5957.401000 6.000000 37.199074 1.000000 4.129000 1.119000 1.182000 0.112000 0.162000 8.57480e+025 7.87099e+022 7.86350e+022 9.06690e+022 8.79570e+022 8.79270e+022 8.61870e+022 
O3_iTY_1 160914 101140 6466.424 736587.424769 0.002495 584.807126 5712.949000 6.000000 42.472578 1.000000 4.136000 1.095000 1.151000 0.100800 0.147300 1.65480e+026 7.83357e+022 7.82580e+022 9.09090e+022 8.78800e+022 8.72610e+022 8.57460e+022 
O3_iTY_1 160914 103733 6466.442 736587.442743 0.002408 669.092432 5519.493000 6.000000 47.549557 1.000000 4.148000 1.076000 1.128000 0.094160 0.138800 1.94210e+026 7.86159e+022 7.85410e+022 9.07690e+022 8.76740e+022 8.73640e+022 8.60880e+022 
O3_iTY_1 160914 110327 6466.460 736587.460729 0.002333 712.682188 5345.978000 6.000000 52.322295 1.000000 4.160000 1.060000 1.110000 0.088650 0.131000 1.96990e+026 7.85991e+022 7.85230e+022 9.09000e+022 8.80150e+022 8.72360e+022 8.59830e+022 
O3_iTY_1 160914 112921 6466.478 736587.478715 0.002302 857.503382 5256.358000 6.000000 56.646981 1.000000 4.147000 1.044000 1.093000 0.083990 0.124800 2.31730e+026 7.84617e+022 7.83860e+022 9.05940e+022 8.79590e+022 8.71470e+022 8.60490e+022 
O3_iTY_1 160914 115507 6466.497 736587.496609 0.002272 676.211328 5188.350000 6.000000 60.304743 1.000000 4.149000 1.037000 1.084000 0.079910 0.119400 2.48110e+026 7.83911e+022 7.83140e+022 9.08200e+022 8.80490e+022 8.69350e+022 8.59730e+022 
O3_iTY_1 160914 122054 6466.514 736587.514514 0.002240 739.975527 5094.590000 6.000000 63.050930 1.000000 4.159000 1.031000 1.078000 0.079220 0.117700 2.31640e+026 7.85419e+022 7.84650e+022 9.09570e+022 8.81470e+022 8.71230e+022 8.59390e+022 
O3_iTY_1 160914 124642 6466.532 736587.532431 0.002255 759.975005 5126.043000 6.000000 64.584165 1.000000 4.145000 1.022000 1.069000 0.076030 0.113600 2.58100e+026 7.84720e+022 7.83960e+022 9.06500e+022 8.81960e+022 8.68330e+022 8.58270e+022 
O3_iTY_1 160914 131351 6466.551 736587.551285 0.002251 711.102064 5116.226000 6.000000 64.640888 1.000000 4.153000 1.023000 1.070000 0.076400 0.114100 2.37690e+026 7.84535e+022 7.83760e+022 9.08390e+022 8.83730e+022 8.70460e+022 8.60320e+022 
O3_iTY_1 160914 140226 6466.585 736587.585023 0.002258 697.798328 5122.420000 6.000000 60.902338 1.000000 4.162000 1.034000 1.085000 0.081670 0.121500 2.62460e+026 7.87328e+022 7.86570e+022 9.06740e+022 8.85610e+022 8.75470e+022 8.64960e+022 
O3_iTY_1 160914 163536 6466.691 736587.691389 0.002674 645.726998 6106.084000 6.000000 33.198683 1.000000 4.141000 1.150000 1.216000 0.123400 0.177000 1.83630e+026 7.90522e+022 7.89760e+022 9.13620e+022 8.82410e+022 8.83590e+022 8.65160e+022 
O3_iTY_1 160914 172715 6466.727 736587.727257 0.003155 662.439832 7063.380000 6.000000 22.104501 1.000000 4.023000 1.222000 1.307000 0.156300 0.219300 1.82940e+026 7.88270e+022 7.87510e+022 9.11660e+022 8.76580e+022 8.85560e+022 8.63880e+022 
O3_iTY_1 160914 175300 6466.745 736587.745139 0.003595 599.455618 7913.371000 6.000000 16.487796 1.000000 3.901000 1.263000 1.368000 0.174900 0.241200 1.89420e+026 7.85121e+022 7.84360e+022 9.08360e+022 8.73750e+022 8.84050e+022 8.59020e+022 
O3_iTY_1 160914 181852 6466.762 736587.763102 0.004242 518.397684 8966.290000 6.000000 10.824681 1.000000 3.698000 1.316000 1.453000 0.201700 0.273700 1.96160e+026 7.86107e+022 7.85350e+022 9.10340e+022 8.68910e+022 8.88880e+022 8.62660e+022 
O3_iTY_1 160915 093612 6467.400 736588.400139 0.002647 696.797012 5827.460000 6.000000 35.048191 1.000000 4.103000 1.141000 1.204000 0.118700 0.170900 3.15020e+026 7.83297e+022 7.82540e+022 9.06020e+022 8.73700e+022 8.74190e+022 8.59040e+022 
O3_iTY_1 160915 100207 6467.418 736588.418137 0.002548 652.981934 5635.218000 6.000000 40.391022 1.000000 4.115000 1.107000 1.166000 0.105100 0.152800 3.33790e+026 7.82607e+022 7.81850e+022 9.03990e+022 8.77480e+022 8.70120e+022 8.56820e+022 
O3_iTY_1 160915 102752 6467.435 736588.436019 0.003041 494.245128 4236.310000 5.000000 45.509254 1.000000 3.914000 0.994600 1.041000 0.067030 0.099920 3.42290e+026 7.93035e+022 7.92350e+022 9.04220e+022 8.74200e+022 8.75030e+022 8.67460e+022 
O3_iTY_1 160915 105340 6467.453 736588.453935 0.002385 702.645046 5328.233000 6.000000 50.365645 1.000000 4.123000 1.064000 1.113000 0.090290 0.133600 3.30860e+026 7.79663e+022 7.78910e+022 9.01160e+022 8.71780e+022 8.66880e+022 8.57230e+022 
O3_iTY_1 160915 111928 6467.472 736588.471852 0.002286 695.173729 5136.132000 6.000000 54.830132 1.000000 4.148000 1.057000 1.107000 0.087720 0.129800 3.39200e+026 7.78370e+022 7.77610e+022 8.99960e+022 8.74220e+022 8.64940e+022 8.54240e+022 
O3_iTY_1 160915 114528 6467.490 736588.489907 0.002268 775.152368 5098.224000 6.000000 58.754320 1.000000 4.140000 1.041000 1.089000 0.084020 0.124400 3.28060e+026 7.80809e+022 7.80070e+022 8.98370e+022 8.73230e+022 8.69740e+022 8.58180e+022 
O3_iTY_1 160915 121127 6467.508 736588.507951 0.002204 732.086206 4949.614000 6.000000 61.854021 1.000000 4.159000 1.044000 1.091000 0.083250 0.122300 3.00370e+026 7.81981e+022 7.81220e+022 9.05100e+022 8.76730e+022 8.67540e+022 8.52150e+022 
O3_iTY_1 160915 153321 6467.648 736588.648160 0.002417 647.070132 5360.816000 6.000000 45.599782 1.000000 4.127000 1.092000 1.146000 0.099380 0.144700 2.72480e+026 7.75732e+022 7.74970e+022 8.98030e+022 8.70090e+022 8.65590e+022 8.50410e+022 
O3_iTY_1 160915 163514 6467.691 736588.691134 0.002659 602.298655 5876.495000 6.000000 32.995283 1.000000 4.106000 1.158000 1.223000 0.128800 0.182400 2.36420e+026 7.77550e+022 7.76820e+022 8.94220e+022 8.65080e+022 8.73810e+022 8.51490e+022 
O3_iTY_1 160915 171449 6467.718 736588.718623 0.003014 628.576994 6566.120000 6.000000 24.532123 1.000000 4.024000 1.212000 1.289000 0.150700 0.212900 2.45340e+026 7.73299e+022 7.72550e+022 8.93270e+022 8.63360e+022 8.68380e+022 8.50360e+022 
O3_iTY_1 160915 172443 6467.725 736588.725498 0.003068 695.778376 6644.351000 6.000000 22.388115 1.000000 4.020000 1.236000 1.320000 0.163000 0.227900 2.47810e+026 7.73012e+022 7.72270e+022 8.91760e+022 8.62460e+022 8.68190e+022 8.47650e+022 
