%QASUME ozone retrieval from direct irradiance
%18 9 2016 Julian Groebner
%Using Ozonesonde ../ozonsonde/ozonesonde_16092111.24Z.csv
%Effective ozone temperature  228 K
%Effective ozone height   25 km 
%Using ozone x-sections bremen
2016 09 22 08 30 01 276.5  2.1
2016 09 22 08 45 01 276.1  0.8
2016 09 22 09 00 01 275.8  1.1
2016 09 22 09 15 01 275.9  1.4
2016 09 22 09 30 01 275.7  1.4
2016 09 22 09 45 01 275.7  1.4
2016 09 22 10 00 01 275.8  1.4
2016 09 22 10 15 01 276.6  1.5
2016 09 22 10 30 01 277.0  1.6
2016 09 22 11 32 40 278.1  2.5
2016 09 22 12 10 01 278.1  2.1
2016 09 22 12 30 01 277.9  2.0
2016 09 22 12 50 01 278.2  1.9
2016 09 22 13 15 02 279.0  2.0
2016 09 22 13 45 01 278.6  1.8
2016 09 22 14 00 01 278.7  1.9
2016 09 22 14 15 01 279.0  1.9
2016 09 22 14 30 01 279.1  1.8
2016 09 22 14 45 01 279.2  1.7
2016 09 22 15 00 01 278.7  1.6
2016 09 22 15 15 01 278.7  1.6
2016 09 22 15 30 01 278.7  1.5
2016 09 22 15 45 01 279.5  1.7
2016 09 22 16 00 01 279.4  1.4
2016 09 22 16 15 01 278.8  1.4
2016 09 22 16 30 01 278.6  1.4
2016 09 22 16 45 01 278.3  1.2
2016 09 22 17 00 01 278.7  0.9
2016 09 22 17 15 01 279.2  0.7
2016 09 22 17 30 01 280.2  1.8
