DiaFrac	Hora	Sza	O3vert	NO2vert
245.281	6.7449	90.798	280	3.31E15
245.2823	6.7742	90.416	278	3.31E15
245.2836	6.8051	90.013	278	3.28E15
245.285	6.8389	89.573	278	3.25E15
245.2864	6.8739	89.116	277	3.2E15
245.8045	19.3075	89.029	277	4.32E15
245.8059	19.3422	89.483	275	4.31E15
245.8074	19.3772	89.94	276	4.38E15
245.8088	19.4122	90.396	274	4.44E15
245.8103	19.4472	90.853	275	4.45E15
246.2814	6.7535	90.792	285	2.9E15
246.2826	6.7825	90.413	282	2.82E15
246.2839	6.8135	90.009	283	2.83E15
246.2853	6.8472	89.569	279	2.8E15
246.2868	6.8822	89.112	281	2.72E15
246.8038	19.2906	89.052	277	4.27E15
246.8052	19.325	89.502	275	4.26E15
246.8067	19.36	89.96	274	4.31E15
246.8081	19.3951	90.419	274	4.34E15
246.8096	19.4303	90.878	275	4.37E15
247.2817	6.7603	90.808	283	2.98E15
247.283	6.7915	90.401	282	2.91E15
247.2843	6.824	89.976	283	2.87E15
247.2857	6.8567	89.55	282	2.84E15
247.2871	6.891	89.101	281	2.83E15
247.8029	19.2703	89.033	269	4E15
247.8044	19.3049	89.486	266	4.02E15
247.8058	19.3396	89.94	268	4.04E15
247.8073	19.3743	90.394	266	4.11E15
247.8087	19.4093	90.852	267	4.19E15
248.2821	6.7701	90.785	272	2.83E15
248.2833	6.7996	90.4	271	2.79E15
248.2846	6.8304	89.997	270	2.74E15
248.286	6.8638	89.561	268	2.71E15
248.2874	6.8988	89.105	268	2.64E15
248.8022	19.2525	89.048	270	4.07E15
248.8036	19.2874	89.505	268	4.1E15
248.8051	19.3226	89.967	268	4.16E15
248.8066	19.3581	90.431	267	4.24E15
248.8081	19.3943	90.905	269	4.28E15
249.2825	6.7796	90.767	270	2.91E15
249.2837	6.8089	90.383	271	2.89E15
249.285	6.8397	89.98	269	2.82E15
249.2864	6.8732	89.542	268	2.77E15
249.2878	6.9082	89.083	267	2.72E15
249.8015	19.2347	89.063	264	4.11E15
249.8029	19.2697	89.524	262	4.17E15
249.8044	19.3053	89.99	264	4.19E15
249.8059	19.3413	90.462	263	4.27E15
249.8074	19.3776	90.938	263	4.35E15
250.2828	6.7865	90.781	267	2.88E15
250.2841	6.8181	90.368	266	2.82E15
250.2854	6.8507	89.94	266	2.77E15
250.2868	6.8833	89.513	263	2.7E15
250.2882	6.9176	89.063	263	2.67E15
