muead	mad	TOZad
3.947	4.109	0.280
3.741	3.877	0.281
3.555	3.670	0.281
3.386	3.484	0.280
3.233	3.317	0.281
3.094	3.166	0.281
2.966	3.029	0.281
2.849	2.904	0.281
2.741	2.789	0.282
2.642	2.684	0.282
2.550	2.587	0.281
2.465	2.497	0.281
2.385	2.415	0.281
2.311	2.338	0.281
2.243	2.266	0.282
2.178	2.199	0.281
2.118	2.137	0.283
2.061	2.078	0.283
2.008	2.024	0.283
1.958	1.972	0.282
1.568	1.573	0.283
1.542	1.547	0.281
1.517	1.521	0.282
1.493	1.497	0.281
1.471	1.474	0.280
1.449	1.453	0.281
1.429	1.432	0.282
1.409	1.412	0.281
1.391	1.393	0.280
1.373	1.375	0.281
1.356	1.358	0.280
1.340	1.342	0.280
1.324	1.326	0.280
1.310	1.312	0.280
1.296	1.298	0.280
1.283	1.284	0.281
1.270	1.271	0.280
1.258	1.259	0.278
1.247	1.248	0.280
1.236	1.237	0.279

