Date;Time Local;Mu_C;M_C;RC;NC;O3_C/1000;Mu_D;M_D;RD;ND;O3_D/1000;Mu_A;M_A;RA;NA;O3_A/1000;Mu_CD;M_CD;O3_CD/1000;Mu_AD;M_AD;O3_AD/1000
26/09/12; 08:00:00;4,149;4,340;143,1;128,9;0,269;4,090;4,273;88,2;75,1;0,270;4,033;4,208;242,4;231,2;0,267;4,119;4,306;0,268;4,062;4,240;0,267
26/09/12; 08:03:00;3,978;4,145;138,1;123,7;0,269;3,924;4,084;84,9;71,7;0,269;3,872;4,024;232,3;220,1;0,265;3,951;4,114;0,270;3,898;4,054;0,264
26/09/12; 08:06:00;3,821;3,967;132,7;118,2;0,268;3,771;3,911;81,7;68,5;0,267;3,723;3,856;225,2;212,4;0,266;3,796;3,938;0,269;3,747;3,883;0,266
26/09/12; 08:09:00;3,675;3,804;128,7;114,1;0,270;3,629;3,752;79,7;66,5;0,271;3,584;3,702;219,4;206,2;0,269;3,652;3,778;0,268;3,607;3,727;0,268
26/09/12; 08:12:00;3,541;3,654;124,7;109,9;0,270;3,498;3,607;77,0;63,8;0,270;3,456;3,561;211,9;198,1;0,268;3,519;3,630;0,271;3,477;3,583;0,268
26/09/12; 08:15:00;3,415;3,516;120,8;105,9;0,270;3,376;3,472;74,7;61,4;0,269;3,337;3,430;206,1;191,9;0,269;3,395;3,494;0,270;3,356;3,451;0,269
26/09/12; 08:18:00;3,299;3,388;117,1;102,2;0,270;3,262;3,348;72,7;59,4;0,270;3,226;3,309;200,2;185,6;0,269;3,280;3,368;0,270;3,244;3,328;0,269
26/09/12; 08:21:00;3,190;3,270;113,7;98,9;0,270;3,156;3,233;70,9;57,6;0,272;3,122;3,196;194,2;179,1;0,269;3,173;3,251;0,269;3,139;3,214;0,268
26/09/12; 08:24:00;3,089;3,161;110,4;95,6;0,270;3,057;3,126;69,0;55,7;0,271;3,025;3,092;189,3;173,8;0,269;3,073;3,143;0,269;3,041;3,109;0,269
26/09/12; 08:28:00;2,964;3,026;106,7;92,0;0,271;2,934;2,994;66,8;53,4;0,271;2,905;2,963;183,0;167,0;0,270;2,949;3,010;0,271;2,919;2,979;0,269
26/09/12; 08:32:00;2,849;2,903;103,1;88,4;0,271;2,821;2,874;64,8;51,4;0,272;2,795;2,846;177,2;160,7;0,270;2,835;2,889;0,271;2,808;2,860;0,269
26/09/12; 08:36:00;2,743;2,791;99,7;85,1;0,271;2,718;2,764;63,0;49,6;0,273;2,693;2,738;171,8;154,9;0,270;2,730;2,777;0,270;2,705;2,751;0,269
26/09/12; 08:40:00;2,645;2,687;96,7;82,1;0,272;2,622;2,663;61,5;48,0;0,275;2,599;2,639;166,5;149,2;0,269;2,633;2,675;0,269;2,610;2,651;0,267
26/09/12; 08:44:00;2,555;2,592;93,8;79,3;0,271;2,533;2,569;59,9;46,4;0,275;2,512;2,547;162,2;144,6;0,270;2,544;2,581;0,268;2,523;2,558;0,269
26/09/12; 08:48:00;2,471;2,504;91,2;76,7;0,272;2,451;2,483;58,4;44,8;0,275;2,431;2,463;157,9;140,0;0,270;2,461;2,494;0,269;2,441;2,473;0,269
26/09/12; 08:52:00;2,393;2,423;88,7;74,2;0,271;2,374;2,403;57,2;43,5;0,276;2,356;2,384;153,8;135,7;0,270;2,384;2,413;0,268;2,365;2,393;0,269
26/09/12; 08:56:00;2,320;2,347;86,6;72,1;0,272;2,303;2,329;56,0;42,3;0,277;2,286;2,311;150,2;131,9;0,271;2,312;2,338;0,269;2,294;2,320;0,269
26/09/12; 09:00:00;2,253;2,276;84,5;70,0;0,272;2,236;2,259;54,9;41,1;0,278;2,220;2,243;146,5;128,0;0,271;2,244;2,268;0,268;2,228;2,251;0,269
26/09/12; 09:04:00;2,189;2,211;82,5;68,0;0,272;2,174;2,195;53,9;40,0;0,279;2,159;2,179;143,3;124,6;0,271;2,182;2,203;0,267;2,167;2,187;0,269
26/09/12; 09:08:00;2,130;2,149;80,6;66,1;0,272;2,116;2,134;52,8;38,9;0,278;2,102;2,120;140,1;121,2;0,271;2,123;2,142;0,267;2,109;2,127;0,269
26/09/12; 09:12:00;2,074;2,092;78,9;64,4;0,272;2,061;2,078;52,0;38,0;0,280;2,048;2,064;137,2;118,2;0,271;2,068;2,085;0,266;2,054;2,071;0,269
26/09/12; 09:16:00;2,022;2,038;77,3;62,8;0,272;2,009;2,025;51,1;37,1;0,280;1,997;2,012;134,4;115,3;0,272;2,016;2,031;0,266;2,003;2,019;0,269
26/09/12; 09:20:00;1,973;1,987;75,7;61,2;0,272;1,961;1,975;50,2;36,1;0,280;1,949;1,963;131,6;112,4;0,271;1,967;1,981;0,266;1,955;1,969;0,269
26/09/12; 09:24:00;1,927;1,940;74,5;59,9;0,273;1,916;1,928;49,4;35,3;0,279;1,905;1,917;129,2;110,0;0,272;1,921;1,934;0,268;1,91;1,923;0,269
26/09/12; 09:28:00;1,883;1,895;73,2;58,6;0,274;1,873;1,884;48,9;34,7;0,283;1,862;1,874;127,0;107,7;0,272;1,878;1,890;0,266;1,867;1,879;0,269
26/09/12; 09:32:00;1,842;1,853;71,9;57,3;0,273;1,832;1,843;48,2;34,0;0,283;1,822;1,833;124,8;105,5;0,272;1,837;1,848;0,266;1,827;1,838;0,270
26/09/12; 09:36:00;1,803;1,813;70,7;56,1;0,273;1,794;1,803;47,5;33,2;0,282;1,784;1,794;122,7;103,4;0,273;1,798;1,808;0,266;1,789;1,799;0,270
26/09/12; 09:40:00;1,766;1,775;69,6;55,0;0,274;1,757;1,766;46,8;32,4;0,281;1,749;1,757;120,6;101,2;0,272;1,762;1,771;0,268;1,753;1,762;0,270
26/09/12; 09:44:00;1,731;1,740;68,5;53,9;0,273;1,723;1,731;46,3;31,9;0,283;1,715;1,723;118,8;99,4;0,273;1,727;1,735;0,266;1,719;1,727;0,270
26/09/12; 09:48:00;1,698;1,706;67,5;52,9;0,274;1,691;1,698;45,9;31,5;0,286;1,683;1,690;117,0;97,6;0,273;1,694;1,702;0,264;1,687;1,694;0,270
26/09/12; 09:52:00;1,667;1,674;66,7;52,0;0,275;1,660;1,667;45,4;30,9;0,286;1,652;1,659;115,2;95,8;0,273;1,663;1,670;0,266;1,656;1,663;0,269
26/09/12; 09:56:00;1,638;1,644;65,9;51,2;0,275;1,630;1,637;45,0;30,5;0,288;1,623;1,630;113,7;94,3;0,274;1,634;1,640;0,265;1,627;1,633;0,270
