brw,slit_2TC,slit_3TC,slit_4TC,slit_5TC,slit_6TC,slit_2TC_SE,slit_3TC_SE,slit_4TC_SE,slit_5TC_SE,slit_6TC_SE
5,0,-0.4,-1.0,-1.5,-2.8,0,0.0026,0.0072,0.0028,0.0007
17,0,-0.4,-0.3,-0.6,-2.1,0,0.0092,0.012,0.0077,0.0061
70,0,-0.5,-1.3,-2.4,-4.5,0,0.015,0.013,0.025,0.033
75,0,-0.1,-1.1,-2.5,-4.1,0,0.002,0.006,0,0.004
117,0,-0.04,0.29,0.48,-0.7,0,0.062,0.146,0.049,0.0014
126,0,0.5,0.1,-0.6,-2.0,0,0.032,0.046,0.047,0.008
150,0,1.13,1.35,1.74,1.38,0,0.085,0.09,0.097,0.072
151,0,2.8,3.2,-0.8,4.0,0,0.086,0.103,0.125,0.2646
163,0,-0.03,-0.29,0.08,-0.85,0,0.0039,0.018,0.0066,0.018
166,0,0.87,1.55,1.49,-0.08,0,0.0022,0.0063,0.0085,0.0021
172,0,0,-0.2,-0.3,-0.6,0,0.035,0.068,0.095,0.12
185,0,-0.23,-0.28,-0.27,-0.41,0,0.0057,0.0003,0.0041,0.001
186,0,0.11,0.11,-0.09,-0.28,0,0.128,0.251,0.366,0.461
202,0,-0.67,-0.96,-1.72,-2.09,0,0.016,0.014,0.0015,0.0051
214,0,0.03,-0.06,-0.17,-0.46,0,0.0018,0.0058,0.0064,0.013
228,0,0.23,0.65,1.44,2.42,0,0.014,0.0168,0.0155,0.0058
