 date, Brw, idx, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
 736141.000000, 157, 17, 3032.07, 3063.08, 3100.52, 3135.09, 3168.04, 3200.05, 5.63, 5.60, 5.49, 5.58, 5.53, 5.41
 736167.000000, 157, 18, 3032.05, 3063.07, 3100.55, 3135.10, 3168.06, 3200.07, 5.68, 5.62, 5.53, 5.62, 5.51, 5.43 
 736183.000000, 157, 19, 3032.10, 3063.11, 3100.57, 3135.11, 3168.05, 3200.06, 5.67, 5.59, 5.51, 5.56, 5.53, 5.42 
 736216.000000, 157, 20, 3032.08, 3063.09, 3100.58, 3135.13, 3168.08, 3200.10, 5.68, 5.62, 5.53, 5.60, 5.50, 5.42 
 736265.000000, 157, 21, 3031.97, 3062.98, 3100.46, 3135.00, 3167.96, 3199.95, 5.78, 5.59, 5.49, 5.60, 5.54, 5.44 
 736286.000000, 157, 22, 3032.04, 3063.03, 3100.49, 3135.05, 3168.01, 3200.00, 5.77, 5.64, 5.48, 5.61, 5.51, 5.43 
 736309.000000, 157, 23, 3032.01, 3063.01, 3100.51, 3135.04, 3167.99, 3199.97, 5.69, 5.60, 5.51, 5.61, 5.52, 5.44 
 736337.000000, 157, 24, 3032.00, 3063.00, 3100.49, 3135.04, 3168.00, 3199.99, 5.66, 5.61, 5.50, 5.60, 5.55, 5.44 
 736373.000000, 157, 25, 3032.13, 3063.15, 3100.61, 3135.14, 3168.16, 3200.12, 5.64, 5.57, 5.52, 5.57, 5.48, 5.42 
 736393.000000, 157, 26, 3032.12, 3063.10, 3100.56, 3135.11, 3168.11, 3200.12, 5.65, 5.57, 5.48, 5.57, 5.53, 5.48 
 736394.000000, 157, 27, 3032.17, 3063.21, 3100.67, 3135.20, 3168.16, 3200.17, 5.65, 5.58, 5.53, 5.59, 5.53, 5.45 
 736408.000000, 157, 28, 3032.09, 3063.11, 3100.58, 3135.13, 3168.09, 3200.11, 5.67, 5.57, 5.48, 5.59, 5.55, 5.43 
 736434.000000, 157, 29, 3032.09, 3063.08, 3100.60, 3135.14, 3168.06, 3200.11, 5.68, 5.59, 5.48, 5.60, 5.61, 5.45 
 736462.000000, 157, 30, 3032.03, 3063.05, 3100.53, 3135.07, 3168.04, 3200.05, 5.65, 5.58, 5.49, 5.57, 5.51, 5.44 
 736488.000000, 157, 31, 3032.03, 3063.05, 3100.52, 3135.07, 3168.05, 3200.05, 5.66, 5.58, 5.48, 5.60, 5.54, 5.43 
 736539.000000, 157, 32, 3032.09, 3063.12, 3100.59, 3135.15, 3168.12, 3200.15, 5.63, 5.57, 5.59, 5.59, 5.55, 5.43
