date, Brw, idx, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
736141.000000, 185, 8, 3032.02, 3063.10, 3100.56, 3135.07, 3168.05, 3200.03, 5.58, 5.53, 5.45, 5.53, 5.39, 5.31 
736168.000000, 185, 9, 3032.01, 3063.12, 3100.59, 3135.11, 3168.11, 3200.10, 5.63, 5.54, 5.45, 5.53, 5.42, 5.37 
736183.000000, 185, 10, 3032.03, 3063.13, 3100.62, 3135.13, 3168.13, 3200.11, 5.64, 5.50, 5.43, 5.53, 5.45, 5.36 
736216.000000, 185, 11, 3032.00, 3063.09, 3100.56, 3135.06, 3168.04, 3200.03, 5.67, 5.53, 5.48, 5.53, 5.43, 5.33 
736265.000000, 185, 12, 3031.97, 3063.12, 3100.57, 3135.04, 3168.06, 3200.00, 5.53, 5.41, 5.39, 5.53, 5.43, 5.33 
736285.000000, 185, 13, 3031.99, 3063.10, 3100.52, 3135.02, 3168.03, 3199.97, 5.62, 5.53, 5.44, 5.46, 5.41, 5.37 
736327.000000, 185, 14, 3031.95, 3063.04, 3100.46, 3134.96, 3167.99, 3199.92, 5.63, 5.55, 5.43, 5.50, 5.44, 5.36 
736337.000000, 185, 15, 3031.98, 3063.06, 3100.48, 3134.99, 3168.00, 3200.01, 5.63, 5.52, 5.43, 5.49, 5.44, 5.38 
736361.000000, 185, 16, 3032.01, 3063.11, 3100.55, 3135.05, 3168.06, 3199.98, 5.63, 5.54, 5.41, 5.52, 5.45, 5.41 
736393.000000, 185, 17, 3032.01, 3063.13, 3100.55, 3135.06, 3168.07, 3200.01, 5.65, 5.52, 5.44, 5.49, 5.43, 5.37 
736434.000000, 185, 18, 3031.99, 3063.10, 3100.54, 3135.03, 3168.03, 3199.97, 5.62, 5.49, 5.43, 5.52, 5.43, 5.35 
736462.000000, 185, 19, 3031.97, 3063.06, 3100.50, 3134.98, 3167.99, 3199.90, 5.61, 5.54, 5.38, 5.54, 5.46, 5.39 
736488.000000, 185, 20, 3032.02, 3063.13, 3100.58, 3135.07, 3168.09, 3200.03, 5.60, 5.50, 5.44, 5.53, 5.42, 5.34 
736507.000000, 185, 21, 3032.00, 3063.09, 3100.52, 3135.00, 3168.02, 3199.97, 5.60, 5.48, 5.45, 5.53, 5.43, 5.32 
736523.000000, 185, 22, 3031.98, 3063.10, 3100.52, 3135.05, 3168.05, 3200.00, 5.59, 5.53, 5.48, 5.56, 5.44, 5.31 
 
