 date, Brw, fit, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
 736141.000000, 157, 17, 3031.93, 3063.03, 3100.46, 3135.06, 3168.05, 3200.09, 5.63, 5.61, 5.50, 5.59, 5.53, 5.42
 736167.000000, 157, 1, 3031.96, 3063.11, 3100.54, 3135.08, 3168.10, 3200.13, 5.71, 5.61, 5.52, 5.62, 5.53, 5.45 
 736183.000000, 157, 2, 3031.99, 3063.06, 3100.57, 3135.12, 3168.12, 3200.12, 5.67, 5.59, 5.51, 5.59, 5.54, 5.44  
 736216.000000, 157, 3, 3032.05, 3063.12, 3100.58, 3135.12, 3168.16, 3200.14, 5.70, 5.63, 5.51, 5.60, 5.52, 5.45 
 736265.000000, 157, 4, 3031.89, 3063.00, 3100.49, 3135.00, 3168.02, 3200.04, 5.78, 5.59, 5.48, 5.59, 5.54, 5.44 
 736286.000000, 157, 5, 3032.03, 3063.05, 3100.53, 3135.05, 3168.07, 3200.07, 5.76, 5.64, 5.47, 5.60, 5.52, 5.43 
 736309.000000, 157, 6, 3032.01, 3063.04, 3100.53, 3135.04, 3168.08, 3200.04, 5.68, 5.60, 5.50, 5.60, 5.52, 5.44 
 736337.000000, 157, 7, 3031.97, 3063.01, 3100.51, 3135.04, 3168.08, 3200.08, 5.66, 5.60, 5.49, 5.60, 5.55, 5.44 
 736373.000000, 157, 8, 3032.13, 3063.21, 3100.68, 3135.23, 3168.24, 3200.23, 5.63, 5.57, 5.53, 5.57, 5.48, 5.42 
 736394.000000, 157, 9, 3032.09, 3063.17, 3100.69, 3135.21, 3168.22, 3200.20, 5.66, 5.59, 5.53, 5.59, 5.53, 5.45 
 736408.000000, 157, 10, 3032.07, 3063.11, 3100.58, 3135.13, 3168.16, 3200.14, 5.67, 5.57, 5.48, 5.61, 5.57, 5.46 
 736434.000000, 157, 11, 3032.01, 3063.05, 3100.59, 3135.10, 3168.13, 3200.09, 5.68, 5.60, 5.48, 5.61, 5.69, 5.48 
 736462.000000, 157, 12, 3031.98, 3063.08, 3100.53, 3135.05, 3168.09, 3200.06, 5.64, 5.58, 5.49, 5.59, 5.52, 5.45 
 736488.000000, 157, 13, 3032.02, 3063.04, 3100.50, 3135.08, 3168.11, 3200.12, 5.66, 5.58, 5.48, 5.62, 5.56, 5.45 
 736539.000000, 157, 14, 3032.05, 3063.11, 3100.58, 3135.17, 3168.19, 3200.21, 5.63, 5.57, 5.49, 5.61, 5.55, 5.46
