date, Brw, idx, wl_0, wl_2, wl_3, wl_4, wl_5, wl_6, fwhm_0, fwhm_2, fwhm_3, fwhm_4, fwhm_5, fwhm_6
736141.000000, 183, 82, 3031.87, 3062.94, 3100.45, 3134.99, 3168.01, 3200.08, 5.59, 5.54, 5.39, 5.54, 5.40, 5.34 
736167.000000, 183, 83, 3031.90, 3062.97, 3100.47, 3135.03, 3168.08, 3200.15, 5.60, 5.54, 5.42, 5.54, 5.38, 5.34 
736183.000000, 183, 84, 3031.88, 3062.94, 3100.45, 3135.01, 3168.05, 3200.12, 5.58, 5.51, 5.42, 5.55, 5.39, 5.36 
736216.000000, 183, 85, 3031.88, 3062.95, 3100.46, 3135.02, 3168.05, 3200.11, 5.59, 5.53, 5.42, 5.53, 5.41, 5.35 
736295.000000, 183, 86, 3031.87, 3062.92, 3100.40, 3134.96, 3167.98, 3200.02, 5.57, 5.51, 5.40, 5.55, 5.36, 5.33 
736337.000000, 183, 87, 3031.86, 3062.94, 3100.43, 3134.98, 3168.02, 3200.09, 5.57, 5.54, 5.39, 5.56, 5.41, 5.35 
736373.000000, 183, 88, 3031.90, 3062.97, 3100.48, 3135.01, 3168.03, 3200.09, 5.58, 5.56, 5.40, 5.54, 5.41, 5.33 
736393.000000, 183, 89, 3031.94, 3062.99, 3100.44, 3135.02, 3168.04, 3200.11, 5.58, 5.51, 5.40, 5.55, 5.40, 5.35 
736434.000000, 183, 90, 3031.98, 3063.03, 3100.52, 3135.07, 3168.09, 3200.14, 5.57, 5.53, 5.42, 5.53, 5.40, 5.33 
736462.000000, 183, 91, 3031.93, 3062.97, 3100.47, 3135.02, 3168.01, 3200.10, 5.59, 5.54, 5.39, 5.55, 5.40, 5.35 
736488.000000, 183, 92, 3031.98, 3063.03, 3100.53, 3135.09, 3168.10, 3200.18, 5.56, 5.55, 5.40, 5.54, 5.40, 5.32 
736497.000000, 183, 93, 3031.93, 3062.98, 3100.48, 3135.02, 3168.02, 3200.11, 5.54, 5.58, 5.41, 5.51, 5.42, 5.33 
736539.000000, 183, 94, 3031.97, 3063.01, 3100.51, 3135.07, 3168.09, 3200.17, 5.56, 5.54, 5.43, 5.54, 5.42, 5.35 

