w_time_s	WL_set	Mon	Brewer	BrewerDark	Brewer_dk	NLK	Brewer_dk_NL	BrewNL_Mon	Brewermicrom	Peak_steps	FWHM_steps	slit	mwl
3536841407	362.99377590768	4.486477e-07	279	2	69.25	0.010659691194344	0.73818361520833	1645352.5008784	9275	9423.8313410383	81.914357875175	5	362.104507916438
3536841446	362.99377590768	4.398837e-07	282	2	70	0.011207414667339	0.78451902671375	1783469.1913198	9280	9423.8313410383	81.914357875175	5	362.13447117312
3536841453	362.99377590768	4.457526e-07	292	2	72.5	0.013014671055058	0.94356365149174	2116787.7685778	9285	9423.8313410383	81.914357875175	5	362.164430890518
3536841460	362.99377590768	4.368932e-07	294	2	73	0.013369273554466	0.97595696947599	2233857.0833238	9290	9423.8313410383	81.914357875175	5	362.19438706863
3536841467	362.99377590768	4.383003e-07	301	2	74.75	0.014582158332157	1.0900163353287	2486916.6991871	9295	9423.8313410383	81.914357875175	5	362.224339707457
3536841474	362.99377590768	4.361601e-07	304	2	75.5	0.015085847890686	1.1389815157468	2611384.0210207	9300	9423.8313410383	81.914357875175	5	362.254288807
3536841481	362.99377590768	4.378212e-07	329	2	81.75	0.018775483449606	1.5348957720053	3505759.3647939	9305	9423.8313410383	81.914357875175	5	362.284234367258
3536841488	362.99377590768	4.437581e-07	356	2	88.5	0.021576491050392	1.9095194579597	4303063.8944048	9310	9423.8313410383	81.914357875175	5	362.31417638823
3536841495	362.99377590768	4.390761e-07	472	2	117.5	0.025151280087554	2.9552754102875	6730667.8962657	9315	9423.8313410383	81.914357875175	5	362.344114869917
3536841502	362.99377590768	4.474119e-07	616	2	153.5	0.029476649575664	4.5246657098644	10112975.783309	9320	9423.8313410383	81.914357875175	5	362.37404981232
3536841509	362.99377590768	4.425529e-07	978	2	244	0.037458867015776	9.1399635518495	20652815.85964	9325	9423.8313410383	81.914357875175	5	362.403981215438
3536841517	362.99377590768	4.43144e-07	1576	2	393.5	0.03838374957089	15.104005456145	34083741.303381	9330	9423.8313410383	81.914357875175	5	362.43390907927
3536841524	362.99377590768	4.408092e-07	2505	2	625.75	0.052835166368011	33.061605354783	75002076.532846	9335	9423.8313410383	81.914357875175	5	362.463833403818
3536841531	362.99377590768	4.463541e-07	3313	2	827.75	0.091723110586793	75.923804788218	170097697.74316	9340	9423.8313410383	81.914357875175	5	362.49375418908
3536841538	362.99377590768	4.391511e-07	4304	2	1075.5	0.44334402686898	476.81650089759	1085768658.8912	9345	9423.8313410383	81.914357875175	5	362.523671435058
3536841545	362.99377590768	4.394249e-07	4291	2	1072.25	0.43203454091268	463.24903649363	1054216628.3559	9350	9423.8313410383	81.914357875175	5	362.55358514175
3536841552	362.99377590768	4.421791e-07	5555	2	1388.25	0.95846708062694	1330.5919246804	3009169643.4326	9355	9423.8313410383	81.914357875175	5	362.583495309158
3536841559	362.99377590768	4.447403e-07	7023	2	1755.25	1.0972917570306	1926.021356528	4330665236.6067	9360	9423.8313410383	81.914357875175	5	362.61340193728
3536841566	362.99377590768	4.372571e-07	8418	2	2104	1.1891552285823	2501.9826009372	5721994224.7644	9365	9423.8313410383	81.914357875175	5	362.643305026118
3536841573	362.99377590768	4.47466e-07	9841	2	2459.75	1.2565771149768	3090.8655585642	6907486956.6943	9370	9423.8313410383	81.914357875175	5	362.67320457567
3536841580	362.99377590768	4.401039e-07	11255	2	2813.25	1.3076745941168	3678.8155518992	8358970579.2182	9375	9423.8313410383	81.914357875175	5	362.703100585937
3536841587	362.99377590768	4.4072e-07	12738	2	3184	1.3511394612844	4302.0280447296	9761363325.3077	9380	9423.8313410383	81.914357875175	5	362.73299305692
3536841595	362.99377590768	4.452749e-07	14115	2	3528.25	1.3854565992157	4888.2372461828	10978021097.041	9385	9423.8313410383	81.914357875175	5	362.762881988618
3536841602	362.99377590768	4.52234e-07	16103	2	4025.25	1.4273446561342	5745.419077104	12704527030.484	9390	9423.8313410383	81.914357875175	5	362.79276738103
3536841609	362.99377590768	4.39612e-07	17510	2	4377	1.4522291135711	6356.4068301008	14459129482.591	9395	9423.8313410383	81.914357875175	5	362.822649234157
3536841616	362.99377590768	4.358421e-07	18702	2	4675	1.4704927616371	6874.5536606533	15773037209.24	9400	9423.8313410383	81.914357875175	5	362.852527548
3536841623	362.99377590768	4.395112e-07	20001	2	4999.75	1.4877496214384	7438.3761697869	16924201635.332	9405	9423.8313410383	81.914357875175	5	362.882402322558
3536841630	362.99377590768	4.43378e-07	21774	2	5443	1.5076008081458	8205.8711987378	18507619229.501	9410	9423.8313410383	81.914357875175	5	362.91227355783
3536841637	362.99377590768	4.396899e-07	23045	2	5760.75	1.5198519572686	8755.4871628351	19912868507.635	9415	9423.8313410383	81.914357875175	5	362.942141253818
3536841644	362.99377590768	4.381572e-07	23658	2	5914	1.525342404977	9020.8749830342	20588215788.841	9420	9423.8313410383	81.914357875175	5	362.97200541052
3536841651	362.99377590768	4.397981e-07	24112	2	6027.5	1.5292784033374	9217.7255761164	20958993629.387	9425	9423.8313410383	81.914357875175	5	363.001866027938
3536841658	362.99377590768	4.375603e-07	23595	2	5898.25	1.5247881475876	8993.5816915084	20553925233.867	9430	9423.8313410383	81.914357875175	5	363.03172310607
3536841666	362.99377590768	4.41828e-07	22657	2	5663.75	1.5162500537259	8587.6612417901	19436661419.806	9435	9423.8313410383	81.914357875175	5	363.061576644918
3536841673	362.99377590768	4.387429e-07	20815	2	5203.25	1.4973332177656	7790.999065339	17757550185.63	9440	9423.8313410383	81.914357875175	5	363.09142664448
3536841680	362.99377590768	4.422312e-07	19622	2	4905	1.4829783760491	7274.0089345207	16448429994.357	9445	9423.8313410383	81.914357875175	5	363.121273104758
3536841687	362.99377590768	4.45296e-07	18212	2	4552.5	1.4632828592347	6661.595216666	14959926019.246	9450	9423.8313410383	81.914357875175	5	363.15111602575
3536841694	362.99377590768	4.429092e-07	16615	2	4153.25	1.4368349886947	5967.5349167965	13473495056.767	9455	9423.8313410383	81.914357875175	5	363.180955407458
3536841701	362.99377590768	4.41771e-07	15059	2	3764.25	1.4063810630927	5293.9699167466	11983516158.251	9460	9423.8313410383	81.914357875175	5	363.21079124988
3536841708	362.99377590768	4.434719e-07	13510	2	3377	1.3709774461658	4629.790835702	10439874173.994	9465	9423.8313410383	81.914357875175	5	363.240623553017
3536841715	362.99377590768	4.413012e-07	12380	2	3094.5	1.3413567803355	4150.8285567482	9405885496.6815	9470	9423.8313410383	81.914357875175	5	363.27045231687
3536841722	362.99377590768	4.352212e-07	10883	2	2720.25	1.2953460230451	3523.6650191886	8096262358.5169	9475	9423.8313410383	81.914357875175	5	363.300277541438
3536841729	362.99377590768	4.41495e-07	9232	2	2307.5	1.2302019444159	2838.6909867398	6429723975.8996	9480	9423.8313410383	81.914357875175	5	363.33009922672
3536841737	362.99377590768	4.367732e-07	7413	2	1852.75	1.1262821562949	2086.7192650753	4777580824.7285	9485	9423.8313410383	81.914357875175	5	363.359917372718
3536841744	362.99377590768	4.4456e-07	5995	2	1498.25	1.0055198399265	1506.5201001698	3388789140.2056	9490	9423.8313410383	81.914357875175	5	363.38973197943
3536841751	362.99377590768	4.385449e-07	4528	2	1131.5	0.75421758570601	853.39719822635	1945974513.0461	9495	9423.8313410383	81.914357875175	5	363.419543046857
3536841758	362.99377590768	4.427701e-07	4140	2	1034.5	0.35570076795132	367.97244444564	831068864.96093	9500	9423.8313410383	81.914357875175	5	363.449350575
3536841765	362.99377590768	4.434851e-07	4091	2	1022.25	0.34635242385662	354.05876528743	798355492.18548	9505	9423.8313410383	81.914357875175	5	363.479154563858
3536841772	362.99377590768	4.446228e-07	3214	2	803	0.074783265070655	60.050961851736	135060464.40204	9510	9423.8313410383	81.914357875175	5	363.50895501343
3536841779	362.99377590768	4.448419e-07	2725	2	680.75	0.057978306187479	39.468731937126	88725302.039053	9515	9423.8313410383	81.914357875175	5	363.538751923718
3536841786	362.99377590768	4.401722e-07	2013	2	502.75	0.037411603627724	18.808683723838	42730285.383398	9520	9423.8313410383	81.914357875175	5	363.56854529472
3536841793	362.99377590768	4.408753e-07	1446	2	361	0.0371649099093	13.416532477257	30431581.168773	9525	9423.8313410383	81.914357875175	5	363.598335126438
3536841800	362.99377590768	4.42136e-07	925	2	230.75	0.038031896139361	8.7758600341576	19848779.638296	9530	9423.8313410383	81.914357875175	5	363.62812141887
3536841808	362.99377590768	4.39759e-07	622	2	155	0.029751598763345	4.6114978083184	10486420.535608	9535	9423.8313410383	81.914357875175	5	363.657904172018
3536841815	362.99377590768	4.399741e-07	481	2	119.75	0.025284329751683	3.0277984877641	6881765.2851931	9540	9423.8313410383	81.914357875175	5	363.68768338588
3536841822	362.99377590768	4.327961e-07	392	2	97.5	0.023632148280454	2.3041344573443	5323833.6882986	9545	9423.8313410383	81.914357875175	5	363.717459060458
3536841829	362.99377590768	4.417969e-07	345	2	85.75	0.020584824093609	1.765148666027	3995384.9065645	9550	9423.8313410383	81.914357875175	5	363.74723119575
3536841836	362.99377590768	4.37444e-07	311	2	77.25	0.016215912002689	1.2526792022077	2863633.2929649	9555	9423.8313410383	81.914357875175	5	363.776999791757
3536841843	362.99377590768	4.344612e-07	305	2	75.75	0.015251299324157	1.1552859238049	2659123.3551003	9560	9423.8313410383	81.914357875175	5	363.80676484848
3536841850	362.99377590768	4.380803e-07	289	2	71.75	0.012477528004692	0.89526263433668	2043603.9564817	9565	9423.8313410383	81.914357875175	5	363.836526365918
3536841857	362.99377590768	4.402269e-07	286	2	71	0.011935387650756	0.84741252320366	1924944.8936529	9570	9423.8313410383	81.914357875175	5	363.86628434407
3536841864	362.99377590768	4.34045e-07	280	2	69.5	0.010842308358927	0.75354043094546	1736088.264916	9575	9423.8313410383	81.914357875175	5	363.896038782938
3536841871	362.99377590768	4.355209e-07	281	2	69.75	0.011024903719741	0.76898703445195	1765671.9446804	9575	9424.1716332984	81.660804096672	5	363.896038782938
3536841878	362.99377590768	4.360072e-07	291	2	72.25	0.012836269590101	0.92742047788479	2127076.0617824	9570	9424.1716332984	81.660804096672	5	363.86628434407
3536841885	362.99377590768	4.327124e-07	291	2	72.25	0.012836269590101	0.92742047788479	2143272.247074	9565	9424.1716332984	81.660804096672	5	363.836526365918
3536841893	362.99377590768	4.357902e-07	298	2	74	0.014068285515063	1.0410531281147	2388886.0468057	9560	9424.1716332984	81.660804096672	5	363.80676484848
3536841900	362.99377590768	4.401439e-07	311	2	77.25	0.016215912002689	1.2526792022077	2846067.3934314	9555	9424.1716332984	81.660804096672	5	363.776999791757
3536841907	362.99377590768	4.342852e-07	329	2	81.75	0.018775483449606	1.5348957720053	3534303.6603718	9550	9424.1716332984	81.660804096672	5	363.74723119575
3536841914	362.99377590768	4.397949e-07	375	2	93.25	0.022859433918242	2.131642212876	4846900.7095717	9545	9424.1716332984	81.660804096672	5	363.717459060458
3536841921	362.99377590768	4.39949e-07	464	2	115.5	0.025040912448739	2.8922253878294	6574001.5043321	9540	9424.1716332984	81.660804096672	5	363.68768338588
3536841928	362.99377590768	4.353963e-07	621	2	154.75	0.029705464776058	4.596920674095	10558015.017801	9535	9424.1716332984	81.660804096672	5	363.657904172018
3536841935	362.99377590768	4.379811e-07	895	2	223.25	0.038166715731221	8.5207192869952	19454536.478846	9530	9424.1716332984	81.660804096672	5	363.62812141887
3536841942	362.99377590768	4.370171e-07	1454	2	363	0.03726308299761	13.526499128132	30951876.089362	9525	9424.1716332984	81.660804096672	5	363.598335126438
3536841949	362.99377590768	4.398803e-07	2004	2	500.5	0.037358201200162	18.697779700681	42506517.570077	9520	9424.1716332984	81.660804096672	5	363.56854529472
3536841956	362.99377590768	4.299272e-07	2656	2	663.5	0.057121282697727	37.899971069942	88154392.34815	9515	9424.1716332984	81.660804096672	5	363.538751923718
3536841963	362.99377590768	4.41987e-07	3216	2	803.5	0.075044602721038	60.298338286354	136425592.3508	9510	9424.1716332984	81.660804096672	5	363.50895501343
3536841971	362.99377590768	4.411611e-07	4080	2	1019.5	0.34484186718131	351.56628359135	796911340.53149	9505	9424.1716332984	81.660804096672	5	363.479154563858
3536841978	362.99377590768	4.399331e-07	4157	2	1038.75	0.36022695624473	374.18575079922	850551483.39421	9500	9424.1716332984	81.660804096672	5	363.449350575
3536841985	362.99377590768	4.339011e-07	4609	2	1151.75	0.84460673119177	972.77580265012	2241929791.4896	9495	9424.1716332984	81.660804096672	5	363.419543046857
3536841992	362.99377590768	4.348554e-07	5904	2	1475.5	0.99619609272947	1469.8873348223	3380174961.1994	9490	9424.1716332984	81.660804096672	5	363.38973197943
